4599589359399, 4 2 0 5 9 5 0 8 1 6 2 1
1751912213415, 1 5 8 4 1 2 5 3 0 3 5 6
4777519539973, 22 95 81 63 11 59 25 94 48 82 71 21
6714931786321, 4 1 8 3 7 8 1 8 5 9 6 4
9459422537399, 7 1 0 6 3 2 9 8 9 3 1 1
7462771536812, 2 9 5 0 5 4 6 3 3 4 0 7
2981882341282, 50 96 36 73 89 66 69 41 43 15 16 41
7749155355426, 8 8 1 0 0 7 5 5 6 5 9 7
3735388923446, 7 1 5 0 5 1 4 5 2 2 2 1
9856448122525, 8 70 46 46 64 64 77 16 45 65 2 72
6277476838919, 27 32 66 99 85 97 29 85 7 76 71 84
7414337541446, 54 46 93 63 89 12 27 18 40 19 3 26
1781963178481, 9 40 11 63 49 62 41 59 25 77 84 35
9986954497938, 6 0 7 2 0 0 0 3 1 4 6 6
3464467574212, 6 1 2 4 9 1 3 0 8 9 0 5
2583674192623, 8 2 8 1 4 4 9 4 7 6 1 0
8627358499826, 63 0 47 74 13 3 58 33 89 69 94 46
7947835547841, 96 60 37 45 93 15 11 58 14 54 66 95
5832281922431, 4 4 2 4 2 7 5 8 8 4 2 4
3419882255821, 29 85 16 74 25 6 0 48 61 69 91 60
7422211972515, 2 8 0 7 3 6 0 7 4 7 6 2
8621294541389, 0 0 5 9 6 2 3 1 6 3 9 2
9923121289497, 87 9 58 97 18 47 51 72 78 18 30 41
7411193974787, 5 8 0 5 7 8 3 8 0 1 2 1
5652444979646, 6 2 8 7 2 5 5 5 5 6 3 0
3494861737657, 7 7 8 3 1 9 8 3 1 3 9 3
6285166234279, 1 0 6 8 3 8 9 3 3 7 7 7
1266436263839, 2 7 3 6 5 8 8 6 1 4 1 2
5519211338683, 1 6 3 3 8 9 5 8 3 1 4 3
6395625121868, 14 64 48 58 94 59 69 58 42 49 46 34
9237982268954, 3 87 49 1 93 73 87 27 37 12 84 42
